time,row,column,value,hour_of_day,day_of_week
18,0,0,0,18,0
18,0,1,0,18,0
18,1,3,19,18,0
18,1,4,14,18,0
18,1,5,8,18,0
18,2,2,3,18,0
18,2,4,14,18,0
18,2,7,3,18,0
18,3,0,0,18,0
18,3,2,0,18,0
18,3,3,8,18,0
18,3,5,19,18,0
18,4,4,27,18,0
18,4,5,17,18,0
18,5,1,0,18,0
18,5,2,0,18,0
18,5,3,3,18,0
18,5,4,11,18,0
18,5,6,3,18,0
18,5,7,3,18,0
18,6,0,0,18,0
18,6,2,0,18,0
18,6,4,0,18,0
18,6,5,14,18,0
18,6,6,11,18,0
18,7,2,0,18,0
18,7,4,0,18,0
18,7,6,5,18,0
19,0,1,0,19,0
19,0,3,5,19,0
19,0,4,3,19,0
19,0,5,3,19,0
19,0,6,8,19,0
19,1,0,0,19,0
19,1,1,0,19,0
19,1,2,0,19,0
19,1,3,3,19,0
19,1,4,3,19,0
19,1,6,8,19,0
19,1,7,3,19,0
19,2,1,0,19,0
19,2,3,0,19,0
19,2,4,8,19,0
19,3,1,0,19,0
19,3,4,0,19,0
19,3,6,3,19,0
19,4,0,0,19,0
19,4,1,0,19,0
19,4,2,5,19,0
19,4,3,51,19,0
19,4,4,0,19,0
19,4,5,5,19,0
19,4,6,0,19,0
19,5,0,0,19,0
19,5,1,0,19,0
19,5,2,0,19,0
19,5,4,8,19,0
19,5,5,3,19,0
19,6,4,0,19,0
19,6,7,0,19,0
19,7,0,0,19,0
19,7,2,0,19,0
19,7,4,0,19,0
20,0,0,0,20,0
20,0,2,0,20,0
20,0,3,3,20,0
20,0,4,0,20,0
20,1,0,0,20,0
20,1,1,0,20,0
20,1,3,3,20,0
20,1,4,3,20,0
20,1,5,33,20,0
20,1,6,0,20,0
20,2,0,0,20,0
20,2,3,0,20,0
20,2,5,3,20,0
20,2,6,3,20,0
20,3,2,0,20,0
20,3,3,0,20,0
20,3,4,0,20,0
20,3,5,5,20,0
20,4,0,0,20,0
20,4,2,0,20,0
20,4,4,0,20,0
20,4,5,0,20,0
20,4,7,0,20,0
20,5,0,0,20,0
20,5,1,0,20,0
20,5,3,0,20,0
20,5,6,0,20,0
20,6,0,0,20,0
20,6,2,0,20,0
20,7,2,0,20,0
20,7,4,0,20,0
21,0,1,0,21,0
21,0,4,0,21,0
21,0,7,3,21,0
21,1,1,0,21,0
21,1,2,5,21,0
21,2,0,0,21,0
21,2,2,5,21,0
21,2,4,0,21,0
21,2,7,0,21,0
21,3,0,0,21,0
21,3,1,8,21,0
21,3,2,0,21,0
21,3,5,8,21,0
21,3,6,3,21,0
21,3,7,5,21,0
21,4,3,3,21,0
21,4,5,0,21,0
21,4,7,0,21,0
21,5,0,0,21,0
21,5,1,0,21,0
21,5,2,0,21,0
21,5,3,0,21,0
21,5,4,0,21,0
21,5,7,0,21,0
21,6,3,0,21,0
21,6,6,8,21,0
21,7,2,0,21,0
21,7,3,0,21,0
21,7,4,0,21,0
21,7,6,5,21,0
22,0,1,0,22,0
22,0,3,5,22,0
22,0,4,3,22,0
22,0,5,3,22,0
22,0,6,0,22,0
22,0,7,0,22,0
22,1,1,0,22,0
22,1,2,3,22,0
22,1,3,0,22,0
22,1,4,0,22,0
22,1,6,14,22,0
22,1,7,0,22,0
22,2,0,0,22,0
