time,row,column,value
389,2,3,78
305,6,3,0
239,6,2,0
588,2,7,27
20,4,0,0
648,2,2,102
512,3,6,0
697,3,3,78
619,6,3,0
581,1,1,10
593,3,0,0
340,3,1,6
506,2,7,99
606,1,1,11
731,1,6,82
648,3,6,133
539,4,2,0
626,3,3,60
332,0,4,109
380,4,0,7
441,3,4,13
386,0,4,112
635,7,4,0
480,5,5,153
581,6,4,0
677,1,7,86
229,3,6,21
528,5,5,95
357,0,3,114
327,2,0,0
575,0,2,94
55,0,7,0
56,0,4,81
490,1,7,0
481,5,7,36
614,1,1,0
52,3,3,0
372,2,7,46
426,0,7,156
159,2,5,187
565,0,5,32
168,0,0,19
610,0,7,0
401,7,4,7
423,7,7,19
206,4,0,0
517,3,6,47
145,1,6,25
15,3,7,90
564,7,2,0
608,7,2,0
369,4,2,0
71,2,5,117
358,6,6,152
536,1,6,0
59,1,1,3
90,7,5,12
484,4,1,8
19,0,0,8
43,2,1,0
664,7,6,39
45,5,6,147
71,3,7,21
610,4,0,0
473,2,6,180
510,3,1,0
127,2,1,0
552,1,1,10
124,3,0,0
90,6,7,28
329,5,3,42
635,3,5,30
78,0,5,0
60,2,6,115
108,1,4,6
430,0,7,118
477,3,3,34
162,5,5,121
525,4,7,295
460,2,7,61
178,7,5,0
661,5,0,0
52,6,0,0
1,4,4,0
164,2,5,599
14,3,3,19
545,2,1,0
62,7,2,3
489,1,0,0
509,0,1,0
620,5,5,139
615,0,6,28
497,5,1,0
731,3,2,82
276,0,5,0
436,2,3,53
40,7,1,0
703,7,6,22
308,6,5,9
34,5,5,169
248,0,4,5
726,0,4,1194
533,4,2,0
251,1,5,36
452,7,6,0
393,0,7,0
41,0,7,378
730,4,4,141
27,4,1,0
418,3,6,7
711,6,5,13
722,5,4,59
148,0,2,0
569,2,4,110
34,7,5,6
367,4,0,0
183,7,3,0
412,6,0,0
702,2,2,78
552,3,3,184
26,0,6,11
570,3,4,277
426,1,7,82
116,4,3,46
620,6,5,0
54,1,4,0
146,0,6,11
697,3,5,350
65,3,7,259
677,4,4,86
178,6,6,0
572,5,6,152
362,4,0,0
556,5,5,26
508,0,6,99
311,1,7,141
626,7,0,0
24,1,2,14
251,3,7,17
190,6,6,0
494,4,4,167
536,6,7,0
24,2,7,14
335,3,0,10
584,1,5,0
28,5,3,0
497,7,2,0
653,7,4,0
727,4,5,2382
484,0,0,8
3,7,3,0
508,5,2,29
38,6,1,0
653,2,7,90
77,7,0,0
354,5,6,71
316,5,3,10
412,5,7,19
325,2,2,57
102,1,0,0
550,0,4,111
18,4,5,276
349,4,1,6
331,1,1,0
212,6,4,20
285,4,2,5
673,5,6,119
146,5,5,18
470,4,2,0
344,1,6,0
328,0,1,46
367,3,7,11
115,1,0,0
132,4,7,146
720,6,6,104
83,3,2,16
321,4,6,0
203,7,6,8
260,3,5,103
351,2,6,189
666,6,5,51
179,4,1,0
634,1,5,37
656,4,2,0
294,5,3,0
226,1,5,0
194,5,0,0
716,1,4,182
223,2,3,0
272,1,4,0
438,6,2,0
33,0,3,797
15,0,1,8
461,3,3,42
232,0,6,13
69,5,3,0
286,2,5,61
233,4,2,0
138,1,5,348
595,3,5,264
163,0,4,124
268,7,5,0
609,6,2,0
3,3,1,8
461,1,5,34
484,0,2,14
409,4,0,0
471,0,4,138
102,1,5,6
141,4,0,0
483,0,3,50
221,0,0,0
705,4,5,134
290,3,0,0
237,5,0,0
730,0,0,36
39,5,0,0
21,2,5,150
236,3,1,0
563,2,1,0
48,6,7,3
594,7,3,0
11,4,0,5
192,5,5,16
371,7,6,7
316,2,4,16
450,3,5,106
47,5,4,11
114,0,5,37
324,5,5,32
319,1,3,0
554,4,0,0
533,5,5,31
584,7,4,0
53,6,2,0
88,5,1,0
118,3,7,17
693,7,7,21
297,6,1,0
100,6,1,10
182,3,0,0
147,5,3,4
195,0,7,33
550,0,2,40
702,7,6,56
439,6,5,13
291,5,2,0
312,6,7,10
480,2,3,100
225,4,2,0
673,4,4,86
560,3,2,0
237,4,7,21
75,4,3,22
587,6,1,0
413,2,4,24
411,0,5,101
180,2,5,31
332,5,7,36
473,0,5,117
621,0,5,92
558,7,3,0
210,7,3,0
531,1,4,49
335,4,0,6
471,5,2,27
269,5,1,0
600,2,5,167
156,3,7,151
431,2,1,7
206,5,3,16
24,5,6,6
323,2,0,0
350,0,7,87
20,2,1,0
503,2,4,123
10,3,1,5
405,7,0,0
491,0,7,0
316,6,2,16
628,6,2,0
473,3,3,82
305,3,5,104
348,2,2,6
89,3,5,98
652,2,0,0
683,3,3,0
170,7,3,0
453,0,1,25
642,7,0,0
117,2,2,37
255,2,7,58
312,6,4,6
528,0,6,614
692,2,7,0
671,5,2,31
143,3,4,52
482,1,4,45
498,0,3,86
717,2,3,91
251,3,0,0
199,7,5,0
160,0,0,14
557,5,1,10
491,2,7,0
559,1,1,0
365,7,7,0
402,6,0,0
128,3,6,46
177,2,1,0
701,4,6,1370
255,3,1,0
614,7,2,0
488,0,3,0
523,2,4,67
319,4,1,0
502,3,0,0
714,5,0,0
17,2,2,22
505,2,4,53
566,0,6,32
534,2,7,40
117,0,6,17
428,0,1,12
658,1,4,0
721,4,6,472
638,1,6,30
602,5,7,57
283,0,6,14
103,6,3,0
221,1,5,16
541,1,5,295
461,7,2,0
186,3,3,46
555,6,6,52
252,0,7,31
50,6,5,9
139,1,4,31
14,0,0,14
218,0,5,13
237,2,2,34
612,2,1,0
296,3,2,0
685,0,7,181
633,0,2,0
266,2,0,5
540,4,3,0
470,1,1,0
306,5,0,0
702,5,6,471
594,4,1,27
8,3,4,5
544,0,1,15
610,5,4,18
246,4,0,0
216,4,7,16
697,7,4,0
198,0,4,0
171,2,6,0
142,4,7,31
461,2,1,8
301,0,3,141
293,5,4,0
400,3,0,0
56,7,1,0
538,5,7,0
425,7,7,70
249,6,2,0
450,5,7,58
222,5,3,5
605,1,2,46
188,5,0,0
512,3,3,9
251,7,1,0
525,5,7,53
182,0,4,15
678,0,6,33
484,5,0,0
260,0,3,75
315,5,6,0
694,7,1,0
223,5,3,0
172,7,7,4
217,5,6,13
14,6,1,0
483,0,6,123
152,0,0,0
697,2,6,428
137,7,7,11
6,4,3,0
681,3,5,12
316,7,5,0
704,7,3,0
11,7,7,0
552,6,5,16
179,5,0,0
720,1,7,132
131,2,7,105
403,5,3,11
111,2,0,0
656,5,4,0
250,5,3,0
560,0,4,16
354,3,2,6
678,4,1,0
623,1,7,103
549,6,0,0
87,7,3,0
400,1,7,71
193,7,4,0
514,1,3,15
506,4,7,38
611,7,2,0
519,6,7,9
634,0,0,0
255,5,2,0
158,5,7,14
202,0,5,5
522,5,7,99
100,3,2,0
329,2,5,103
87,0,3,243
261,4,3,36
632,2,6,37
44,1,4,126
230,2,3,16
614,7,0,0
309,7,2,0
433,0,6,172
565,2,3,74
76,5,1,0
630,1,5,19
189,2,6,72
614,4,1,18
691,3,2,0
608,6,6,0
2,2,6,3
73,5,3,0
657,2,5,0
276,3,5,23
332,1,3,71
76,2,6,4
243,1,5,9
542,6,1,0
516,6,0,0
700,3,0,0
16,2,5,213
255,6,6,67
171,6,5,0
159,1,4,62
649,5,6,71
617,3,7,64
372,3,1,0
168,0,6,207
30,4,2,0
131,6,7,11
550,1,5,344
348,4,5,10
427,0,3,125
725,3,6,2795
511,3,3,0
345,1,4,0
189,3,7,31
336,5,5,98
247,7,7,0
412,3,7,43
223,3,6,5
535,7,1,0
501,4,0,28
147,3,6,30
69,7,6,24
286,6,3,0
705,3,3,112
566,4,7,26
181,2,3,15
539,5,2,0
282,3,7,38
81,6,5,28
295,0,0,9
152,7,2,0
594,3,4,98
449,0,6,58
584,5,3,0
290,5,0,0
614,3,7,18
67,6,1,0
279,2,5,9
497,5,5,45
315,0,4,87
129,5,0,0
114,1,5,23
251,1,0,0
570,1,0,10
572,5,3,26
51,6,1,0
414,6,5,7
653,5,2,0
98,3,5,27
295,2,2,0
714,2,6,91
61,1,2,24
501,6,0,0
186,7,0,0
531,3,5,215
684,0,6,12
40,5,4,14
125,1,6,0
245,3,5,14
214,6,1,0
688,0,0,12
52,3,5,0
312,3,5,422
627,7,4,30
33,4,1,80
133,6,1,0
277,2,2,5
401,2,5,160
470,3,7,48
299,5,7,6
663,0,4,223
414,0,3,12
283,6,3,5
563,3,5,26
189,0,3,46
430,2,6,125
21,0,1,11
514,1,2,15
510,1,1,0
357,3,5,291
91,0,7,85
234,2,6,26
45,2,7,63
407,6,0,0
7,0,3,11
686,1,3,0
76,5,0,0
192,6,5,33
371,5,2,0
408,4,1,0
483,1,3,123
571,1,7,110
480,0,0,14
523,2,7,143
527,3,6,942
462,7,6,8
466,2,5,0
603,2,2,92
572,0,1,32
207,7,1,0
401,2,0,0
0,1,5,8
584,3,5,0
69,0,7,472
673,7,4,12
584,7,0,0
717,5,1,0
173,1,0,0
621,4,7,28
726,7,6,23
60,4,3,27
502,5,3,0
348,7,7,10
423,0,1,12
386,7,4,11
2,7,2,0
81,3,4,73
207,7,7,5
296,1,6,6
362,0,6,358
259,0,1,0
535,1,0,0
650,7,0,0
730,3,5,399
673,5,7,41
2,6,2,0
241,1,7,44
515,0,2,9
85,1,7,132
360,2,5,574
271,4,3,0
298,0,1,0
18,2,4,74
110,5,4,10
467,1,1,0
261,0,4,58
33,3,6,123
730,5,1,0
54,6,2,0
487,5,0,0
661,0,6,63
445,7,7,66
378,0,1,11
49,7,6,3
683,3,0,0
222,3,2,0
596,2,7,247
495,5,1,0
390,0,4,18
225,6,0,0
335,7,2,0
439,2,6,25
719,5,3,22
717,5,4,13
265,2,6,70
508,6,0,0
516,2,6,38
195,2,5,25
438,5,5,40
82,4,1,57
181,7,7,4
111,2,1,70
385,4,1,11
139,6,3,17
722,4,1,14
176,0,6,0
91,4,5,95
301,5,2,0
718,7,5,0
184,2,2,24
471,0,5,159
191,6,7,0
290,7,1,0
364,2,4,35
181,7,4,12
344,0,7,0
651,0,2,71
378,2,0,0
226,7,4,0
673,1,3,173
369,0,1,0
89,1,5,209
105,0,4,20
348,5,2,0
332,7,2,0
51,1,5,3
544,0,6,160
674,0,5,161
206,5,6,12
163,7,7,18
524,4,0,0
480,1,0,0
200,6,3,0
50,4,3,226
83,0,5,607
98,1,1,0
208,4,5,209
217,6,3,0
232,0,3,16
55,2,6,6
726,1,4,486
78,0,7,6
178,3,0,0
63,2,0,0
234,2,3,47
640,5,6,19
165,2,5,1105
306,0,0,0
2,5,0,0
495,0,3,100
596,7,6,17
688,7,3,0
640,0,4,0
471,5,1,8
578,5,5,115
135,0,5,109
199,4,7,0
711,3,5,0
18,7,5,33
98,1,4,4
371,1,1,22
334,2,6,740
638,7,2,0
668,4,4,39
276,1,6,9
275,6,2,0
533,5,2,0
645,4,5,157
123,2,0,0
109,7,3,6
673,1,4,21
367,4,5,7
269,6,2,0
20,7,0,0
407,3,7,89
567,3,6,200
559,3,0,0
167,3,2,25
216,3,7,13
241,2,0,0
718,5,7,125
384,6,7,30
519,4,7,91
336,6,2,0
323,2,2,6
371,6,0,0
95,3,6,51
687,0,7,0
369,1,4,0
702,5,1,0
119,4,3,50
216,7,4,5
613,7,2,0
408,4,7,243
602,4,7,185
502,6,0,0
520,6,6,15
713,1,5,22
90,2,0,0
713,3,6,22
206,7,1,0
708,4,4,22
642,5,4,30
133,1,5,74
684,2,6,12
345,7,3,0
324,6,7,6
536,3,0,0
704,1,3,125
546,1,7,160
367,7,7,0
308,4,7,25
196,0,6,8
547,2,3,111
143,6,3,4
637,1,3,19
199,7,6,0
552,1,7,116
69,6,2,0
596,6,0,0
503,1,0,8
196,3,7,12
116,0,1,17
141,0,5,192
410,7,2,0
727,5,4,531
474,5,6,42
246,6,6,0
241,7,7,0
546,1,2,49
588,7,5,0
419,0,0,0
151,3,5,11
250,7,4,5
172,4,5,89
142,1,6,972
183,3,1,15
287,6,7,9
100,0,0,0
516,0,2,15
145,6,4,11
459,5,1,13
581,2,2,27
107,2,3,4
140,1,6,867
149,2,7,0
711,1,3,0
421,7,5,31
294,0,1,9
718,7,3,0
436,6,7,20
110,7,2,0
121,5,5,35
616,5,4,57
330,5,6,129
66,5,2,6
519,7,6,67
293,2,5,25
492,3,0,0
299,7,0,0
289,6,6,83
82,7,2,0
427,6,6,7
248,7,4,0
223,1,3,0
464,2,2,0
103,1,1,0
236,4,4,21
116,7,3,0
303,2,0,0
310,3,5,239
86,2,5,310
642,5,5,127
322,4,0,0
368,5,3,0
553,2,5,158
414,4,3,407
544,4,0,0
275,1,2,14
315,6,4,10
703,0,7,359
60,3,0,0
197,3,0,0
137,3,7,66
99,3,0,4
357,5,7,60
208,6,6,0
716,3,1,0
407,3,0,0
657,0,6,12
686,4,2,0
696,6,5,22
566,5,7,68
185,1,3,27
496,4,3,0
39,7,5,0
327,0,1,10
719,6,0,0
324,5,7,6
33,1,7,579
91,5,6,411
195,5,1,0
478,3,6,801
701,2,7,169
6,0,4,0
560,6,6,0
676,4,4,66
530,7,4,0
323,4,4,0
496,0,5,145
63,3,5,406
186,0,4,7
369,5,0,0
26,0,5,9
55,4,4,3
481,1,0,0
9,0,6,114
